Date/Time,State,Command
2016.08.30 22:06:27,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:06:27,Receive,#                1500VA     V6.7      
2016.08.30 22:06:26,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:26,Receive,(237.0 000.0 242.0 000 50.0 26.2 29.0 00001000
2016.08.30 22:06:25,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:06:25,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:06:24,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:24,Receive,(239.0 000.0 240.0 000 50.0 26.2 29.0 00001000
2016.08.30 22:06:23,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:23,Receive,(239.0 000.0 240.0 000 50.0 26.2 29.0 00001000
2016.08.30 22:06:22,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:22,Receive,(237.0 000.0 240.0 000 50.0 26.2 29.0 00001000
2016.08.30 22:06:21,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:06:21,Receive,#                1500VA     V6.7      
2016.08.30 22:06:20,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:20,Receive,(239.0 000.0 229.0 000 50.0 25.6 29.0 00001000
2016.08.30 22:06:19,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:06:19,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:06:18,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:18,Receive,(240.0 000.0 229.0 000 50.0 25.6 29.0 00001100
2016.08.30 22:06:17,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:17,Receive,(242.0 000.0 229.0 000 50.0 25.6 29.0 00001100
2016.08.30 22:06:16,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:16,Receive,(239.0 000.0 229.0 000 50.0 25.8 29.0 00001100
2016.08.30 22:06:15,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:06:15,Receive,#                1500VA     V6.7      
2016.08.30 22:06:14,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:14,Receive,(239.0 000.0 229.0 000 50.0 25.8 29.0 00001100
2016.08.30 22:06:13,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:06:13,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:06:12,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:12,Receive,(239.0 000.0 229.0 000 50.0 26.0 29.0 00001100
2016.08.30 22:06:11,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:11,Receive,(239.0 000.0 229.0 000 50.0 26.0 29.0 00001100
2016.08.30 22:06:10,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:10,Receive,(240.0 000.0 229.0 000 50.0 26.2 29.0 00001100
2016.08.30 22:06:09,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:06:09,Receive,#                1500VA     V6.7      
2016.08.30 22:06:08,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:08,Receive,(239.0 000.0 229.0 000 50.0 26.2 29.0 00001100
